Precursor Mz,Average Measured Retention Time
698.868305,72.1
571.001556,72.1
771.028243,72.1
801.093397,72.1
532.634985,72.1
675.87613,72.11
927.52019,72.11
740.329632,72.11
506.274169,72.11
603.642139,72.11
551.847167,72.11
671.835516,72.11
580.802957,72.11
614.656337,72.11
696.013973,72.11
885.942107,72.11
944.422592,72.11
885.764774,72.11
885.393028,72.11
824.081152,72.11
949.161193,72.11
700.903399,72.11
606.306829,72.12
829.044438,72.12
682.867448,72.12
703.051304,72.12
739.395544,72.12
605.873913,72.12
584.371006,72.12
807.448505,72.12
576.657455,72.12
585.313694,72.12
848.416545,72.12
728.72682,72.12
995.137003,72.12
757.726998,72.12
757.440483,72.12
608.825052,72.12
890.984929,72.12
758.034202,72.13
815.958517,72.13
779.909213,72.13
650.022797,72.13
912.958388,72.13
974.504737,72.13
621.346051,72.13
860.953817,72.13
745.890489,72.13
810.396588,72.13
978.540403,72.13
816.401897,72.13
806.386247,72.13
666.383788,72.13
929.821455,72.13
778.388422,72.13
932.830784,72.13
484.308321,72.13
770.399112,72.13
770.392479,72.13
506.596419,72.13
753.8903,72.13
704.060022,72.14
908.908661,72.14
911.445637,72.14
852.465777,72.14
489.276909,72.14
923.93933,72.14
497.918616,72.14
588.800414,72.14
855.102621,72.15
860.414642,72.15
550.808573,72.15
797.373626,72.15
515.290016,72.15
756.359809,72.15
884.753724,72.15
702.371037,72.15
518.960809,72.15
623.87953,72.15
918.795963,72.15
704.397753,72.15
550.294767,72.15
951.999622,72.15
576.996694,72.15
957.52019,72.15
635.301941,72.15
554.643146,72.16
879.116925,72.16
718.87263,72.16
886.929819,72.16
763.741308,72.16
653.363713,72.16
616.985689,72.16
557.845156,72.16
557.845156,72.16
788.071271,72.16
621.999881,72.16
621.014585,72.16
757.71023,72.16
788.350151,72.16
811.908356,72.16
651.836139,72.16
795.403349,72.16
564.824223,72.16
809.076401,72.16
744.88828,72.17
889.444935,72.17
472.941415,72.17
838.763828,72.17
771.368866,72.17
799.385905,72.17
851.465841,72.18
955.467486,72.18
593.850773,72.18
846.455473,72.18
675.845361,72.18
494.268414,72.18
